question_number,question_text,image,options,answer,explanation,QA type,knowledge topics,book label,level of difficulty,question type,share_context,share_image,pil_image,pil_share_image
11,"At the beginning of the year, a firm bought an AA-rated corporate bond at USD 110 per USD
100 face value. Using market data, the risk manager estimates the following year-end values for
the bond based on interest rate simulations informed by the economics team: 
 
 
In addition, the risk manager estimates the 1-year transition probabilities on the AA-rated
corporate bond: 
 
What is the 1-year 95% credit VaR per USD 100 of face value closest to?",['/Volumes/Jennie/Reasoning/FinMath/data/FRMLevel2/CreditRiskMeasurementandManagement/CreditRiskMeasurementandManagement_images/11u.png'],"{'A': 'A.USD 9', 'B': 'B.USD 18', 'C': 'C.USD 30', 'D': 'D.1'}",A,"The 95% credit VaR corresponds to the unexpected loss atthe 95th percentile minus
the expected loss, or the expected future value atthe 95% loss percentile minus the current
value. Using the probabilities in thegiven ratings transition matrix, the 95% percentile
corresponds to a downgradeto BBB, at which the value of the bond would be estimated at 101.
Since cashflows for the bond are not provided, we cannot derive the precise expected
andunexpected losses, but the credit VaR (the difference) is easily derived bysubtracting the
estimated value given a BBB rating from the current value. 95%credit VaR = 110 – 101 = 9.",math reasoning QA,"Credit Value at Risk (Credit VaR), Bond Valuation, Ratings Transition Matrices",Credit Risk Measurement and Management,difficult,text only,[],[],[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=663x678 at 0x113F23250>],[]
12,"Jesse Porter, FRM, is examining the difference between risk-neutral and real-world default
probabilities. Specifically, Porter is concerned about which method to use for hedging. To help
explain the difference between the two probabilities, his colleague, Bob Evans, constructs a
hypothetical example with the following information: •  Market price of bond  = 90 • 
Liquidity  premium  =  2% •  Credit  risk  premium = 3% •  Recovery rate  =  0% • 
Risk-free rate  =  1 % •  Risk-neutral default probability = 10% Based on the data provided,
what is the real-world default probability, and which default probability (risk-neutral or
real-world) should be used for hedging purposes?",['/Volumes/Jennie/Reasoning/FinMath/data/FRMLevel2/CreditRiskMeasurementandManagement/CreditRiskMeasurementandManagement_images/12u.png'],"{'A': 'A.', 'B': 'B.无', 'C': 'C.无', 'D': 'D.无'}",A,"Risk-neutral default probability=real-world defaultprobability + credit risk
premium + liquidity premium10% = real-world default probability + 3% + 2%Real-world default
probability = 10% - 5% = 5%Risk-neutral default probabilities are usefulfor hedging
considerations while real-world default probabilities are usefulfor quantitative risk
assessment.",Math reasoning QA,"Risk-neutral probability, Real-world default probability, Hedging techniques",Credit Risk Measurement and Management,difficult,text only,[],[],[<PIL.PngImagePlugin.PngImageFile image mode=RGB size=390x159 at 0x113F23F40>],[]
13,"Assume that Smithson Inc. sells an asset to Libco Inc. and receives a debt claim for $100
million to be paid in five years. The claim from Libco is Smithson's only liability claim. The
price per share of equity for Libco is $16.10. Since there are five million shares of equity
outstanding, the total equity value of the firm is $80.5 million. Call options on the equity of
Libco with an exercise price of $10 and an expiration of one year are currently trading at
$9.09. Which of the following statements accurately describes the value of Smithson Inc.?",[],"{'A': 'A.The value of Smithson’s equity can\\nbe valued as a put option on firm value with an\nexpiration of fi', 'B': ""B.The value of Smithson's debt can\\nbe valued as the discounted value of the debt's principal,\nless th"", 'C': ""C.The value of the call option on\\nSmithson's equity can be used to estimate the volatility of\nfirm va"", 'D': 'D.When the actual value of the firm is\\nhigh, the value of the equity of the firm is more'}",B,"Statement b is true. Statement a isincorrect because equity is valued as a call
option. Statement c is incorrectbecause for the levered firm, the option on equity is a call-
on-call compoundoption and cannot be valued using the Black-Scholes-Merton Option pricingmodel.
Statement d is incorrect because when the value of the firm is low, the valueof the equity of
the firm is more volatile than when the value of the firm ishigh.",Knowledge reasoning QA,"Contingent claims analysis, Structural models of credit risk, Option pricing theory",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
14,"Terminal cash flow information for senior, junior, and equity tranches are provided as
follows. ·       The original loan pool included 100 loans with $1 million par value
each and a fixed coupon of 8%. ·       The number of surviving loans is 92.
·       The par for the senior and junior tranches is 80% and 15%, respectively. The
equity investors contributed the remaining 5%. ·       There were two defaults with
recovery rates of 40% recovered at the end of the period. ·       The value of the trust
account at the beginning of the period was $10 million earning 4% annually. ·       The
pool will terminate at the end of the fourth year. The mezzanine and equity tranche cash flows
are closest to which of the following amounts?",['/Volumes/Jennie/Reasoning/FinMath/data/FRMLevel2/CreditRiskMeasurementandManagement/CreditRiskMeasurementandManagement_images/14u.png'],"{'A': 'A.', 'B': 'B.无', 'C': 'C.无', 'D': 'D.无'}",C,"Steps to calculate terminal cash flows are as follows.1.  Total size ofcollateral
pool at origination: 100 x $1,000,000=$100,000,0002.  Senior tranche= $80,000,000    
Junior tranche= $15,000,000     Equity tranche = $5,000,0003.  Interest fromloans: 92 x 8%
x $1,000,000 = $7,360,0004.  Redemption atpar: 92 x $1,000,000 = $92,000,0005.  Recovery
infinal year: 2 x 40%x $1,000,000 = $800,0006.  Value ofovercollateralization at end of final
year: $10,000,000 x 1.04 = $10,400,0007.  Total availableto satisfy all claims =
$110,560,0008.  Senior claim=$80,000,000 < $110,560,000.  Seniorclaim is satisfied without
impairment.9.  Junior claim= $15,000,000< $110,560,000 - $80,000,000, so junior claim is
satisfied.  10. Equity claim= $110,560,000 - $80,000,000 -$15,000,000 = $15,560,000.",math reasoning QA,"Securitization, Structured Finance, Credit Risk Modeling",Credit Risk Measurement and Management,difficult,text only,[],[],[<PIL.PngImagePlugin.PngImageFile image mode=RGB size=456x137 at 0x113F23DF0>],[]
15,"Suppose a risk manager compares the potential future exposures (PFEs) for two cross-currency
swaps that have the same maturity. If one of the swaps pays a higher interest rate and the
other swap receives a higher interest rate payment, which of the following statements best
describes the risk exposures for the swaps?",[],"{'A': 'A.The swap paying\\nthe higher interest rate has less exposure.', 'B': 'B.The swap paying\\nthe higher interest rate has a lower expected gain on the notional value at\nt', 'C': 'C.Over the long\\nterm, the interest rate drift dominates the implied volatility measure causing', 'D': 'D.Over the long\\nterm, the implied volatility dominates the interest rate drift'}",C,"The swap paying the higher interest rate has a greaterexposure than the reverse
swap due to the fact that it has a significantlyhigher gain on the notional value at the
maturity of the swaps. In addition,over the long term, the interest rate drift dominates the
implied volatilitymeasure.  This causes the PFE for theswap receiving the higher interest rate
to remain relatively flat.",Knowledge reasoning QA,"Potential Future Exposure (PFE), Cross-Currency Swaps, Interest Rate Risk",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
16,"In the context of waiting for a company to default, the rate parameter, λ,in the
exponential distribution function is known as the hazard rate. This parameter indicates the
rare at which company defaults will arrive. Given a hazard rate of 0.12, what is the
conditional default probability given survival until time 2?",[],"{'A': 'A.0.2134.', 'B': 'B.0.8869.', 'C': 'C.0.1131.', 'D': 'D.\xa00.1003.'}",C,"Givena hazard rate of 0.12, the cumulative PD at time 1 would be: 1-e-0.12(1)
=0.1131. Thus, the survival probability would equal: 1 - 0.1131 = 0.8869. The cumulativePD at
time 2 would be: 1-e-0.12(2) = 0.2134. Thus, the PD from time1 to time 2 equals: 0.2134 -
0.1131 = 0.1003. The conditional PD given survivaluntil time 2 is computed as PD (from time 1
to time 2) / survival probabilityat time 1 = 0.1003 / 0.8869 = 0.1131.",math reasoning QA,"Probability distributions, Hazard rate, Survival analysis",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
17,"Large bank uses the KMV model to measure credit risk exposure. The bank has exposure to
Company X. Company X’s firm value, expected firm value, beta, and outstanding debt are shown
below. What is the distance to default and the default point for Company X? Current firm
value                         4,000 Expected firm value
                      5,000 Std. dev. expected firm
value           500 Company X Beta
                            1.4 Debt 1: Short-term
                       1,300 Debt 2: Long-term
                        1,800",['/Volumes/Jennie/Reasoning/FinMath/data/FRMLevel2/CreditRiskMeasurementandManagement/CreditRiskMeasurementandManagement_images/17u.png'],"{'A': 'A.', 'B': 'B.无', 'C': 'C.无', 'D': 'D.无'}",C,"Since the ratio of long-term-liabilities-to-short-term-liabilitiesis less than 1.5,
the following equation for default point (i.e., default threshold)will apply: Default Point =
short-term liabilities + 0.5 x long-term liabilities Default Point = 1,300 + 0.5 x 1,800 =
$2,200 The distance to default is then equal to: DD = (5,000 – 2,200) / 500 = 5.6",math reasoning QA,"Credit risk measurement, KMV model, Distance to default",Credit Risk Measurement and Management,difficult,text only,[],[],[<PIL.PngImagePlugin.PngImageFile image mode=RGB size=606x209 at 0x113F22170>],[]
18,"Which of the following statements about a cash collateralized debt obligations (CDO) special
purpose vehicle (SPV) is true?",[],"{'A': 'A.In a synthetic CDO, the SPV invests in the actual\\nsecurities that are used to generate\npayment to t', 'B': 'B.In a cash CDO, the SPV invests in the actual securities\\nthat are used to generate payment to\nthe tr', 'C': 'C.In a synthetic CDO, the SPV does not invest in the actual\\nsecurities that are used to\ngenerate paym', 'D': 'D.In a cash CDO, the SPV does not invest in the actual\\nsecurities that are used to generate'}",B,"Acash collateralized debt obligation’s (CDO) special purpose vehicle (SPV) invests
inthe actual securities that are used to generate payment to the tranches. Asynthetic CDO’s
SPV does not invest in the actual securities that are used togenerate payment to the tranches.
Instead they invest in a default swap and arisk-free bond.",Knowledge reasoning QA,"Collateralized Debt Obligations (CDOs), Special Purpose Vehicles (SPVs), Synthetic vs. Cash CDOs",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
19,"Suppose a firm has two debt issues outstanding. One is a senior debt issue that matures in
three years with a principal amount of $100 million. The other is a subordinate debt issue that
also matures in three years with a principal amount of $50 million. The annual interest rate is
5%, and the volatility of the firm value is estimated to be 15%. If interest rates decline in
the Merton model, then which of the following is true?",[],"{'A': 'A.\xa0\\nIf the firm is experiencing financial distress (low firm value), then\\nthe value of\nsenior deb', 'B': 'B.\xa0\\nIf the firm is not experiencing financial distress (high firm value),\\nthen the value of\nsenio', 'C': 'C.\xa0\\nIf the firm is experiencing financial distress (low firm value), then\\nthe value of\nsenior deb', 'D': 'D.\xa0\\nIf the firm is not experiencing financial distress (high firm value),\\nthen the value of'}",A,"When firms with subordinate debt areexperiencing financial distress (low firm
values), changes in the value ofsubordinate debt will react to changes in the model parameters
in the same wayas equity. Since equity is valued as a call option in the Merton model, a
declinein interest rates will reduce the value of equity (and subordinate debt). When firmswith
subordinate debt are not experiencing financial distress (high firm values),changes in the
value of subordinate debt will react to changes in the modelparameters in the same way as
senior debt. Since senior debt is valued as thedifference in firm value less equity valued as a
call option in the Morton model,a decline in interest rates will increase the value of senior
debt andsubordinate debt.",knowledge reasoning QA,"Merton model, Financial distress, Debt valuation",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
20,"Consider the following scenarios regarding parties analyzing the potential use of
collateralized debt obligations (CDOs). •  Half-Pass Investments structures a deal to add
value by repackaging bonds into tranches. Half-Pass plans to capture for equity investors the
spread between relatively high yielding assets and lower yielding liabilities. •  Piaffe First
Bank recently acquired Pirouette Financial. Adding Pirouette's portfolio of loans will result
in Piaffe's not being in compliance with internal asset composition targets because its
concentration of subprime loans will be too high. •  Canter Consulting has been asked to
advise a U.S. commercial bank on way to reduce the risk-based capital requirement for the
commercial loan portfolio. Currently, the bank must reserve 100% capital against the loan
balances. •  Renvers Holdings plans to put together a CDO that it believes can generate a
profit from the  spread between the return on the collateral and the funding costs. Which of
the choices below most accurately reflects the motivations for the parties in the above
scenarios?",['/Volumes/Jennie/Reasoning/FinMath/data/FRMLevel2/CreditRiskMeasurementandManagement/CreditRiskMeasurementandManagement_images/20u.png'],"{'A': 'A.', 'B': 'B.无', 'C': 'C.无', 'D': 'D.无'}",C,"BothHalf-Pass and Renvers are in situations in which there is a motivation tocreate
an arbitrage-driven CDO, where the motivation is to generate anarbitrage return on the spread
between return on the collateral and fundingcosts. Piaffe and Canter are both in situations
that lend themselves to abalance-sheet-driven CDO, where the motivation is to remove assets
(and theassociated funding) from the balance sheet.",knowledge reasoning QA,"Collateralized Debt Obligations (CDOs), Arbitrage-driven CDOs, Balance-sheet-driven CDOs",Credit Risk Measurement and Management,difficult,text only,[],[],[<PIL.PngImagePlugin.PngImageFile image mode=RGB size=579x122 at 0x113F7CA00>],[]
21,"A firm has entered into a USD 20 million total return swap on the NASDAQ 100 Index as the
index payer with ABC. Corporation, which will pay 1-year LIBOR +2.5%. The contract will last 1
year, and cash flows will be exchanged annually. Suppose the NASDAQ 100 Index is currently at
2,900 and LIBOR is 1.25%. The firm conducts a stress test on this total return swap using the
following scenario: NASDAQ 100 in 1 year: 3,625 LIBOR in 1 year: 0.50% For this scenario, what
is the firm’s net cash flow in year 1?",[],"{'A': 'A.A net cash outflow of USD 4.40 million.', 'B': 'B.A net cash outflow of USD 4.25 million.', 'C': 'C.A new cash outflow of USD 4.25 million.', 'D': 'D.A new cash outflow of USD 4.40 million.'}",B,"The NASDAQ will increase 25%, or (3625/2900)-1, over thenext year, so the index
payer will pay USD 5 million (0.25*20million) to ABCcorp. Since ABC Corp’s payments depend on
today’s LIBOR, it will pay 3.75%(1.25%+2.5%)or USD 0.75 million (0.0375*20million). So the
firm’s net cash flow would be0.75 million-5 million=-USD 4.25 million.",math reasoning QA,"Market Risk, Derivatives, Stress Testing",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
22,"The exhibit below presents a summary of bilateral mark-to-market (MtM) trades for three
counterparties. If netting agreement exist between all pairs of counterparties shown, what is
the correct order of net exposure per counterparty, from highest to lowest?",['/Volumes/Jennie/Reasoning/FinMath/data/FRMLevel2/CreditRiskMeasurementandManagement/CreditRiskMeasurementandManagement_images/22u.png'],"{'A': 'A.A-B-C', 'B': 'B.A-C-B', 'C': 'C.C-A-B', 'D': 'D.C-B-A'}",B,"One must properly net the positive and negative tradesper counterparty for all
three counterparties shown. The properly nettedamounts are:For counterparty A: exposure to
B=USD 0, exposure toC=USD 10 for a sum of USD 10;For counterparty B: exposure to A=USD 0,
exposure toC=USD 0 for a sum of USD 0;For counterparty C: exposure to A=USD 0, exposure toB=USD
5 for a sum of USD 5;Therefore, the correct sequence is as shown above.",math reasoning QA,"Counterparty risk, Netting agreements, Bilateral exposure",Credit Risk Measurement and Management,difficult,text only,[],[],[<PIL.PngImagePlugin.PngImageFile image mode=RGB size=702x328 at 0x113F7C250>],[]
23,"An underlying exposure with an effective annual price volatility of 6% is collateralized by
a 10-year U.S. Treasury note with an effective pricevolatility of 8%. The correlation between
the exposure on the U.S. Treasury note is zero. Changes in the value of the overall position
(exposureplus collateral) are calculated for a 10-day horizon at a 95% confidence interval
(assume a year of 250 days). Which of the following would oneexpect to observe from this
analysis?",[],"{'A': 'A.The presence of collateral increases the current exposure and increase the Vvlatility of the\nexposure between remargining periods.', 'B': 'B.The presence of collateral increases the current exposure, but decreases the volatility of\nthe exposure between remargining periods.', 'C': 'C.The presence of collateral decreases the current exposure, but increases the voltility of the\nexposure between remargining periods.', 'D': 'D.The presence of collateral decreases the current exposure and decreases the volatility of the'}",C,"Worse case change for the value of the collateral is: -1.65*8%*(10/250)^0.5=-2.64%
The overall volatility of the position: (0.06^2+0.08^2)^0.5=10%Thus the worst case change in
the value of this position (exposure + collateral) is:-1.65*10%*(10/250)^0.5=-3.3%Thus, the
collateral mitigates the exposure today while increasing the volatility of the position in the
future.",Math reasoning QA,"Collateral Management, Volatility Calculation, Risk Mitigation Strategies",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
24,"Edward Art, a CFO of Bank of Mitsubishi, has recently proposed to increase the bank’s
liquidity by securitizing existing credit card receivables. Edward’s proposed securitization
includes tranches with multiple internal credit enhancements as shown in Exhibit 1 below. The
total value of collateral for the structure is USD 680 million, the lockout period is two
years, and the subordinated tranche B bond class is the first loss piece:
 
 
 At the end of the fourteenth month after the securities were issued, the underlying credit
card accounts have prepaid USD 30 million in principal in addition to regularly scheduled
principal and interest payments. What is the amount of the prepaid principal paid out to the
holders of the junior tranche A bond class?",['/Volumes/Jennie/Reasoning/FinMath/data/FRMLevel2/CreditRiskMeasurementandManagement/CreditRiskMeasurementandManagement_images/24u.png'],"{'A': 'A.USD 0 million', 'B': 'B.USD 30 million', 'C': 'C.USD 120 million', 'D': 'D.USD 230 million'}",A,"a is correct. The securities have a two-year lockoutperiod; all principal
prepayments within the first two years will be used tofund new loans. No security tranche will
receive principal prepayments untilafter the 24-month lockout period. Credit card prepayments
are usually justrolled into new loans (not repaid to bondholders).",math reasoning QA,"Securitization, Structured Finance, Credit Risk Management",Credit Risk Measurement and Management,difficult,text only,[],[],[<PIL.PngImagePlugin.PngImageFile image mode=RGB size=474x247 at 0x113F7EDD0>],[]
25,"A bank has booked a loan with total commitment of USD 50,000 of which 80% is currently
outstanding. The default probability of the loan is assumed to be 2% for the next year and loss
given default (LGD) is estimated at 50%. The standard deviation of LGD is 40% and the standard
deviation of the default event indicator is 7%. Drawdown on default is assumed to be 60%. The
expected losses for the bank are:",[],"{'A': 'A.USD 380', 'B': 'B.USD 420', 'C': 'C.USD 460', 'D': 'D.USD 500'}",C,"Standard deviation of LGD = 0.4, Standard deviation ofthe default event indicator =
.07Adjusted Exposure (AE) = Outstanding + (Commitment –Outstanding) * Draw Down on default AE
= (0.8*50,000) + [50,000-(0.8*50,000)]*0.6 = 46,000Expected Loss = AE*default probability*LGD
=46,000*.02*0.5 = 460",math reasoning QA,"Loss Given Default (LGD), Expected Loss (EL), Default Probability (PD)",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
