ID,Question Number,Share Context,Share Image,Question Text,Image,Options,Answer,Explanation,人员,QA Type,Question Type,Level of Difficulty,Knowledge Topics,General Topics,Book Label
358,116,,,"Peter, the municipal bond analyst observes that in recent years there have occurred only
about 6 U.S. municipal defaults per year. If he makes the highly simplifying assumption that 6
defaults per year is the average in a Poisson process (distribution), what is the probability
that the next municipal default will occur within one month?",,"{'A': '8.42%', 'B': '17.00%', 'C': '39.35%', 'D': '60.65%'}",C,"$$
\text{p[next default within one month]} = 1 - e^{-\lambda \text{T}} = 1 - e^{-0.5} = 39.35\%
$$",醇厚,Math reasoning QA,text only,Easy,"Probability distributions, Poisson process, Risk modeling",Credit Risk Measurement and Management,Credit Risk Measurement and Management1
371,129,,,"Assume an MBS is composed of the following four different pools of mortgages: $2 million of
mortgages that have a maturity of 90 days. $3 million of mortgages that have a maturity of 180
days. $5 million of mortgages that have a maturity of 270 days, $10 million of mortgages that
have a maturity of 360 days. What is the weighted average maturity (WAM) of these mortgage
pools?",,"{'A': '167 days.', 'B': '225 days.', 'C': '252 days.', 'D': '284 days.'}",D,"$$
WAC = \frac{[90 \ast 2 + 180 \ast 3 + 270 \ast 5 + 360 \ast 10]}{(2 + 3 + 5 + 10)}
$$
$$
= \frac{(180 + 540 + 1,350 + 3,600)}{20}
$$
$$
= 284 \text{天}
$$",醇厚,Math reasoning QA,text only,Easy,"Weighted Average Maturity (WAM), Mortgage-Backed Securities (MBS), Financial Calculations",Credit Risk Measurement and Management,Credit Risk Measurement and Management1
379,137,,,"Suppose the annual prepayment rate CPR for a mortgage-backed security is 6 percent. What is
the corresponding single-monthly mortality rate SMM?",,"{'A': '0.514%', 'B': '0.334%', 'C': '0.500%', 'D': '1.355%'}",A,"$$
\text{SMM} = 1 - (1 - \text{CPR})^{\frac{1}{12}} = \text{SMM} = 1 - (1 - 0.06)^{\frac{1}{12}} = 0.514\%
$$",醇厚,Math reasoning QA,text only,Easy,"Prepayment Models, Mortgage-Backed Securities, Quantitative Analysis",Credit Risk Measurement and Management,Credit Risk Measurement and Management1
616,11,,,"It is currently August 2010, and the spot price of soybeans is $5.05/bushel. Storage costs
for soybeans on a continuously compounded basis are $0.45/bushel annually. The appropriate
continuously compounded interest rate is 8%. If a soybean farmer has just finished harvesting
his crop but would like to sell half of the crop in February 2011 and half in May 2011 by going
short futures contracts, which of the following statements is most accurate? The farmer should
store his crop only if the:",,"{'A': 'February futures contract price is more than $5.50/bushel and the May futures contract price\nis more than $5.73/bushel.', 'B': 'February futures contract price is more than $5.73/bushel and the May futures contract price\nis more than $5.50/bushel.', 'C': '?February futures contract price is less than $5.73/bushel and the May futures contract price\nis less than $5.50/bushel.', 'D': '?February futures contract price is less than $5.50/bushel and the May futures contract price'}",D,"$$
u = 0.45
$$

$$
8.91\% = \frac{5.05}{5.05}
$$

$$
2011\text{年}2\text{月期的期货合约合理价格为：}
$$

$$
F = 5.05 \times (e^{(8.91\%)} \times 0.5) = 5.50
$$

$$
2011\text{年}5\text{月期的期货合约合理价格为：}
$$

$$
F = 5.05 \times (e^{(8.91\%)} \times 0.75) = 5.73
$$

$$
所以，当2011\text{年}2\text{月期货合约合约市场价格低于} 5.50 \text{/bushel}，2011\text{年}5\text{月期货合约市场价格低于} 5.73 \text{/bushel}时，大豆种植者会储存大豆而不遭受订货合约的实赔。因此，选项D正确。
$$",海州,Math reasoning QA,text only,Hard,"Commodity Futures Pricing, Continuous Compounding, Hedging Strategies",Financial Markets and Products,Financial Markets and Products2
724,25,,,"Assume you purchase a share of stock for $50 at time t = 0 and another share at $65 at time
t = 1, and at the end of year 1 and year 2, the stock paid a $2.00 dividend. Also at the end of
year 2, you sold both shares for $70 each. The dollar-weighted rate of return on the investment
is:",,"{'A': '10.77%', 'B': '15.45%', 'C': '15.79%', 'D': '18.02%'}",D,"$$
50 + \frac{65}{1 + \text{IRR}} = \frac{2}{1 + \text{IRR}} + \frac{144}{(1 + \text{IRR})^2}
$$

$$
\text{IRR} = 18.02\%
$$

$$
50 + \frac{65}{1 + \text{IRR}} = \frac{2}{1 + \text{IRR}} + \frac{144}{(1 + \text{IRR})^2}
$$

$$
\text{IRR} = 18.02\%
$$",醇厚,Math reasoning QA,text only,Easy,"Time-weighted return, Dollar-weighted return, Investment returns analysis",Risk Management and Investment Management,Risk Management and Investment Management1
729,30,,,"Consider the following two asset portfolios:
 
 
Calculate the component VaR of asset A and marginal VaR of asset B, respectively, at the 95%
confidence level.",./dataset/images/RiskManagementandInvestmentManagement1_images/30u.png,"{'A': 'USD 21,773 and 0.1306', 'B': 'USD 21,773 and 0.1169', 'C': 'USD 27,268 and 0.1169', 'D': 'USD 27,268 and 0.1306'}",C,"$$
MVaR_A = z_a \times \beta_{A,P} \times \sigma_P = 1.645 \times 0.7 \times 5.92\% = 0.0681688
$$

$$
CVaR_A = MVaR_A \times V_A = 0.0681688 \times 400,000 = 27,268
$$

$$
MVaR_B = z_a \times \beta_{B,P} \times \sigma_P = 1.645 \times 1.2 \times 5.92\% = 0.1169
$$",醇厚,Math reasoning QA,text only,Easy,"Value at Risk (VaR), Component VaR, Marginal VaR",Risk Management and Investment Management,Risk Management and Investment Management1
749,50,,,"A portfolio has USD 2 million invested in Stock A and USD 1 million invested in Stock B. The
95% 1-day VaR for each individual position is USD 40,000. The correlation between the returns
of Stock A and Stock B is 0.5. While rebalancing, the portfolio manager decides to sell USD 1
million of Stock A to buy USD 1 million of Stock B. Assuming that returns are normally
distributed and that the rebalancing does not affect the volatility of the individual stocks,
what effect will this have on the 95% 1-day portfolio VaR?",,"{'A': 'There will be no effect.', 'B': 'It will increase by USD 20,370', 'C': 'It will increase by USD 21,370', 'D': 'It will increase by USD 22,370'}",D,"$$
\sqrt{(40,000)^2 + (40,000)^2 + 2 \times 0.5 \times 40,000 \times 40,000} = 69,282
$$

The VaR of the new portfolio:

$$
\sqrt{(20,000)^2 + (80,000)^2 + 2 \times 0.5 \times 20,000 \times 80,000} = 91,652
$$

So the VaR will increase by USD 22,370",醇厚,Math reasoning QA,text only,Easy,"Value at Risk (VaR), Portfolio Risk Management, Correlation",Risk Management and Investment Management,Risk Management and Investment Management1
761,62,,,"The following information is available for funds ABC, RST, JKL, and XYZ:
 
 
The average risk-free rate was 5%. Rank the funds from best to worst according to their Treynor
measure.",./dataset/images/RiskManagementandInvestmentManagement1_images/62u.png,"{'A': 'JKL, RST, ABC, XYZ', 'B': 'JKL, RST, XYZ, ABC', 'C': 'RST, JKL, ABC, XYZ', 'D': 'XYZ, ABC, RST, JKL'}",A,"$$
T_{ABC} = \frac{0.15 - 0.05}{1.25} = 0.08
$$

$$
T_{RST} = \frac{0.18 - 0.05}{1.00} = 0.13
$$

$$
T_{JKL} = \frac{0.25 - 0.05}{1.20} = 0.1667
$$

$$
T_{XYZ} = \frac{0.11 - 0.05}{1.36} = 0.0441
$$",醇厚,Math reasoning QA,text only,Easy,"Performance measurement, Risk-adjusted returns, Treynor ratio",Risk Management and Investment Management,Risk Management and Investment Management1
768,69,,,"When computing individual VaR, it is proper to:",,"{'A': 'Use the absolute value of the portfolio weight.', 'B': 'Use only positive weights.', 'C': 'Use only negative weights.', 'D': 'Compute VaR for each asset within the portfolio.'}",A,"$$
VaR_{i} = z_{c} \sigma_{i} |P_{i}| = z_{c} \sigma_{i} |\omega_{i}| P
$$

The absolute value signs indicate that we need to measure the risk of both positive and negative positions, and risk cannot be negative.
",醇厚,Knowledge reasoning QA,text only,Easy,"Value at Risk (VaR), Portfolio Risk Management, Risk Measurement Techniques",Risk Management and Investment Management,Risk Management and Investment Management1
774,75,,,"In making allocations across active managers, which of the following represents the formula
that gives the optimal weight to allocate to a manager denoted i, where IRi and IRp are the
information ratios of the manager and the total portfolio respectively?",,"{'A': '', 'B': '', 'C': '', 'D': ''}",C,"$$
\frac{\text{IR}_{i} \times (\text{portfolio's tracking error})}{\text{IR}_{p} \times (\text{manager's tracking error})}
$$",醇厚,Knowledge reasoning QA,text only,Easy,"Portfolio Optimization, Information Ratio, Active Management",Risk Management and Investment Management,Risk Management and Investment Management1
778,79,,,"A risk manager is evaluating a pairs trading strategy recently initiated by one of the
firm’s traders. The strategy involves establishing a long position in Stock A and a short
position in Stock B. The following information is also provided: ☆ 1-day 99% VaR of Stock A is
USD 100 million ☆ 1-day 99% VaR of Stock B is USD 125 million ☆ The estimated correlation
between long positions in Stock A and Stock B is 0.8 Assuming that the returns of Stock A and
Stock B are jointly normally distributed, the 1-day 99% VaR of the combined positions is
closest to?",,"{'A': 'USD 0 million', 'B': 'USD 75 million', 'C': 'USD 160 million', 'D': 'USD 214 million'}",B,"$$
\sqrt{\text{VaR}_A^2 + \text{VaR}_B^2 + 2\rho \text{VaR}_A \text{VaR}_B} = \sqrt{100^2 + 125^2 + 2 \times (-0.8) \times 100 \times 125} = 75
$$",醇厚,Math reasoning QA,text only,Easy,"Value at Risk (VaR), Correlation, Hedging Strategies",Risk Management and Investment Management,Risk Management and Investment Management1
951,121,,,"A company incurs the followings costs related to its inventory during the year:
 Theamount charged to inventory cost (in millions) is closest to:",./dataset/images/level1_cai_bao_images/121u.PNG,"{'A': '￥175,000.', 'B': '￥177,000.', 'C': '￥185,000.'}",A,"The costs to include in inventories are all costs of purchase, costs of conversion,
and other costs incurred in bringing the inventories to their present location and condition.
存货成本包括所有采购成本、转换成本以及将存货运至当前位置和状态所产生的其他成本。

| **Cost**                                      | **¥ millions** |
|-----------------------------------------------|----------------|
| Purchase price                                | 100,000        |
| Less Trade discounts                          | (5,000)        |
| Import duties                                 | 20,000         |
| Shipping of raw materials to manufacturing facility | 10,000   |
| Manufacturing conversion costs                | 50,000         |
| **Total inventory costs**                     | **175,000**    |",嘉辰,Knowledge reasoning QA,text+image,Easy,"Inventory accounting, Cost of goods sold (COGS), Financial reporting",Financial Reporting and Analysis,level1_财报
966,136,,,"Using the information presented in Exhibit
 
 The financial leverage ratio for SAP Group at 31 December 2017 is closest to:",./dataset/images/level1_cai_bao_images/136u.PNG,"{'A': '1.50.', 'B': '1.66.', 'C': '2.00.'}",B,"B is correct. The financial leverage ratio (Total assets ÷ Total equity) is
1.66 (= €42,497 ÷ €25,540). ： 财务杠杆比率=总资产/总所有者权益=4242,497 ÷ 25,540=1.66 选择
B 选项

| **Description**                 | **2023** | **2024** |
|----------------------------------|----------|----------|
| Total non-current liabilities   | 6,747    | 8,205    |
| Total liabilities               | 16,958   | 17,880   |
| Total equity                    | 25,540   | 26,397   |
| Total equity and liabilities    | 42,497   | 44,277   |",嘉辰,Math reasoning QA,text+image,Easy,"Financial Leverage, Balance Sheet Analysis, Ratio Analysis",Financial Reporting and Analysis,level1_财报
979,149,,,"A company issues €10,000,000 face value of 10-year bonds dated 1 January 2015 when the
market interest rate on bonds of comparable risk and terms is 6%. The bonds pay 7% interest
annually on 31 December. Based on the effective interest rate method, the interest expense on
31 December 2015 is closest to:",,"{'A': '€644,161.', 'B': '€700,000.', 'C': '€751,521.'}",A,"A is correct. The following illustrates the keystrokes for many financial
calculators to calculate sales proceeds of €10,736,008.71:

| **Calculator Notation** | **Numerical Value for This Problem** |
|-------------------------|--------------------------------------|
| N                       | 10                                   |
| % i or I/Y              | 6                                    |
| FV                      | $10,000,000.00                       |
| PMT                     | $700,000.00                          |
| PV compute              | X                                    |


The interest expense is calculated by multiplying the carrying amount at the beginning of the
year by the effective interest rate at issuance. As a result, the interest expense at 31
December 2015 is €644,161 (€10,736,008.71 × 6%). ： 通过使用金融计算器，可以得到
N=10，PMT=700,000，I/Y=6，FV=10,000,000 PV= 10,736,008.71 因此企业当期确认的利息费用为
10,736,008.71*6%=644,161 选择A选项",嘉辰,Math reasoning QA,text+image,Easy,"Effective interest rate method, Bond valuation, Financial calculators.",Financial Reporting and Analysis,level1_财报
992,162,,,"A company issues $1,000,000 face value of 10-year bonds on 1 January 2015 when the market
interest rate on bonds of comparable risk and terms is 5%. The bonds pay 6% interest annually
on 31 December. At the time of issue, the bonds payable reflected on the balance sheet is
closest to:",,"{'A': '$926,399.', 'B': '$1,000,000.', 'C': '$1,077,217.'}",C,"C is correct. The bonds will be issued at a premium because the coupon rate is
higher than the market interest rate. The following illustrates the keystrokes for many
financial calculators to calculate sales proceeds of $1,077,217.35:

| **Calculator Notation** | **Numerical Value for This Problem** |
|-------------------------|--------------------------------------|
| N                       | 10                                   |
| % i or I/Y              | 5                                    |
| FV                      | $1,000,000.00                        |
| PMT                     | $60,000.00                           |
| PV compute              | X                                    |


Thus, the sales proceeds are reported on the balance sheet as an increase in long-term
liability, bonds payable of $1,077,217. ： 根据题目信息，使用金融计算器可以求出对应结果 其中
N=10，I/Y=5，PMT=1,000,000*6%=60,000，FV=1,000,000，CPT，PV=1,077,217 选择C选项。 或者根据题目
信息可知，有效利率为5%而息票率为6%，因此这个债券为溢价债券，三个选项中得到的结果只有C选项为溢价
债券。",嘉辰,Math reasoning QA,text+image,Easy,"Bond Valuation, Financial Statement Analysis, Market Interest Rate",Financial Reporting and Analysis,level1_财报
1013,183,,,"Company AAA issues 10-year bonds on 1 January 2013, the bonds are priced at ￡107,306 with
face value 100,000, market interest rates are 6%, coupon rates are 7%, interest paid annually
on 31 December. The carrying value of the bonds as of 31 December 2013 will be closest to:",,"{'A': '￡107,306.', 'B': '￡106,801.', 'C': '￡107,919.'}",B,"There are two ways to determine the value of the bonds on 31 December 2014.
| **Year** | **Carrying Amount at Start of Year** | **Interest Expense at EAI(6%)** | **Interest Payment at Coupon Rate(7%)** | **Amortization of Premium** | **Carrying Amount at End of Year** |
|----------|--------------------------------------|---------------------------------|----------------------------------------|-----------------------------|----------------------------------|
| 2013     | 107,360                              | 6,441                           | 7,000                                  | 559                         | 106,801                          |",嘉辰,Math reasoning QA,text+image,Easy,"Bond Pricing, Amortization of Bond Discount/Premium, Carrying Amount of Bonds",Financial Reporting and Analysis,level1_财报
1024,194,,,"Lesp Industries issues five-year bonds dated 1 January 2015 with a face value of $2,000,
000 and 3% coupon rate paid annually on 31 December. The market interest rate on bonds of
comparable risk and term is 4%. The sales proceeds of the bonds are $1,910,964. Under the
effective interest rate method, the interest expense in 2017 is closest to:",,"{'A': '$77,096.', 'B': '$77,780.', 'C': '77,807.'}",B,"B is correct. The interest expense for a given year is equal to the carrying
amount at the beginning of the year times the effective interest of 4%. Under the effective
interest rate method, the difference between the interest expense and the interest payment
(based on the coupon rate and face value) is the discount amortized in the period, which
increases the carrying amount annually. For 2017, the interest expense is the beginning
carrying amount ($1,944,499) times the effective interest of 4%. ：

| **Year** | **Carrying Amount (beginning)** | **Interest Expense (at effective interest of 4%)** | **Interest Payment (at coupon rate of 3%)** | **Amortization of Discount** | **Carrying Amount (end of year)** |
|----------|---------------------------------|--------------------------------------------------|--------------------------------------------|------------------------------|----------------------------------|
| 2015     | $1,910,964                      | $76,439                                          | $60,000.00                                 | $16,439                      | $1,927,403                      |
| 2016     | $1,927,403                      | $77,096                                          | $60,000.00                                 | $17,096                      | $1,944,499                      |
| 2017     | $1,944,499                      | $77,780                                          | $60,000.00                                 | $17,780                      | $1,962,279                      |

通过使用金融计算器，可以得到N=5，PMT=60,000，I/Y=4，FV=2,000,000?PV= 1,910,964 根据BASE法则 因
此17年记录的利息费用为77,780，选择B选项。",嘉辰,Math reasoning QA,text+image,Easy,"Effective interest rate method, Bond pricing and valuation, Market interest rate impact on bonds",Financial Reporting and Analysis,level1_财报
1025,195,,,"A company issues $30,000,000 face value of five-year bonds dated 1 January 2015 when the
market interest rate on bonds of comparable risk and terms is 5%. The bonds pay 4% interest
annually on 31 December. Based on the effective interest rate method, the carrying amount of
the bonds on 31 December 2015 is closest to:",,"{'A': '$28,466,099.', 'B': '$28,800,000.', 'C': '$28,936,215.'}",C,"C is correct. The following illustrates the keystrokes for many financial
calculators to calculate sales proceeds of $28,701,157.00:
The following table illustrates interest expense, premium amortization, and carrying amount
(amortized cost) for 2015.

| **Calculator Notation** | **Numerical Value for This Problem** |
|-------------------------|--------------------------------------|
| N                       | 5                                    |
| % i or I/Y              | 5                                    |
| FV                      | $30,000,000.00                       |
| PMT                     | $1,200,000.00                        |
| PV compute              | X                                    |


| **Year** | **Carrying Amount (beginning of year)** | **Interest Expense (at effective interest rate of 5%)** | **Interest Payment (at coupon rate of 4%)** | **Amortization of Discount** | **Carrying Amount (end of year)** |
|----------|-----------------------------------------|--------------------------------------------------------|--------------------------------------------|------------------------------|----------------------------------|
| 2015     | $28,701,157.00                          | $1,435,057.85                                          | $1,200,000.00                              | $235,057.85                  | $28,936,214.85                  |


The carrying amount at the end of the year is found by adding the amortization of the discount
to the carrying amount at the beginning of the year. As a result, the carrying amount on 31
December 2015 is $28,936,215. Alternatively, the following illustrates the keystrokes for many
financial calculators to calculate the carrying value at the end of first year of $28,936, 215:

| **Calculator Notation** | **Numerical Value for This Problem** |
|-------------------------|--------------------------------------|
| N                       | 4                                    |
| % i or I/Y              | 5                                    |
| FV                      | $30,000,000.00                       |
| PMT                     | $1,200,000.00                        |
| PV compute              | X                                    |


通过使用金融计算器，可以得到N=5，PMT=1,200,000，I/Y=5，FV=30,000,000?PV= 28,701,157 根据BASE法
则，B=28,701,157，A=28,701,157 *5%=$1,435,057.85，S=1,200,000，得到E=28,936,214.85 选择C选项。",嘉辰,Math reasoning QA,text+image,Easy,"Bond Valuation, Discount Amortization, Effective Interest Rate Method",Financial Reporting and Analysis,level1_财报
