ID,Question Number,Share Context,Share Image,Question Text,Image,Options,Answer,Explanation,QA Type,Question Type,Level of Difficulty,Knowledge Topics,General Topics,Book Label
801,19,,,"A private equity fund desiring to realize an immediate and complete cash exit from a
portfolio company is most likely to pursue a(n):",,"{'A': 'IPO.', 'B': 'trade sale.', 'C': 'recapitalization.'}",B,"B is correct. Private equity funds can realize an immediate cash exit in a trade
sale. Using this strategy, the portfolio company is typically sold to a strategic buyer. ： B是
正确的。私募股权基金可以在交易出售中实现即期现金流。利用这种策略，投资组合公司通常被出售给战略
买家。",Knowledge reasoning QA,text only,Easy,"Private equity, Exit strategies, Trade sale",Alternative Investments,level1_另类
830,48,,,"The potential benefits of allocating a portion of a portfolio to alternative investments
include:",,"{'A': 'ease of manager selection.', 'B': 'improvement in the portfolio’s risk–return relationship.', 'C': 'accessible and reliable measures of risk and return.'}",B,"B is correct. Adding alternative investments to a portfolio may provide
diversification benefits because of these investments’ less than perfect correlation with
other assets in the portfolio. As a result, allocating a portion of one’s funds to
alternatives could potentially result in an improved risk–return relationship. Challenges to
allocating a portion of a portfolio to alternative investments include obtaining reliable
measures of risk and return as well as selecting portfolio managers for the alternative
investments. ：B是正确的。由于这些投资与投资组合中的其他资产之间的相关性不够完美，因此向投资组
合中添加替代投资可能会带来多元化收益。因此，将一部分资金分配给替代品可能会改善风险回报关系。将
投资组合的一部分分配给另类投资的挑战包括获得可靠的风险和回报指标，以及为另类投资选择投资组合经
理。",Knowledge reasoning QA,text only,Easy,"Portfolio Diversification, Alternative Investments, Risk-Return Relationship",Alternative Investments,level1_另类
831,1,,,"If at the beginning the entry recorded was prepaid expense, after the products are delivered
or the service is rendered, the adjusting entry will most likely results in:",,"{'A': 'the reduction of an asset and the recording of an expense.', 'B': 'the addition of an asset and the recording of an expense.', 'C': 'the reduction of an asset and the reduction of an debt.'}",A,"The adjusting entry to record the expiry of a prepaid expense is the reduction of
an asset (the prepaid) and the recognition of the expense.",Knowledge reasoning QA,text only,Easy,"Accrual accounting, Adjusting entries, Prepaid expenses",Financial Reporting and Analysis,level1_财报
833,3,,,Interest paid is classified as an operating cash flow under:,,"{'A': 'US GAAP but may be classified as either operating or investing cash flows under IFRS.', 'B': 'IFRS but may be classified as either operating or investing cash flows under US GAAP.', 'C': 'US GAAP but may be classified as either operating or financing cash flows under IFRS.'}",C,"： C is correct. Interest expense is always classified as an operating cash flow
under US GAAP but may be classified as either an operating or financing cash flow under IFRS.",Knowledge reasoning QA,text only,Easy,"Cash Flow Classification, US GAAP, IFRS",Financial Reporting and Analysis,level1_财报
1095,19,,,"Which of the following represents a principal–agent conflict between shareholders and
management?",,"{'A': 'Risk tolerance', 'B': 'Multiple share classes', 'C': 'Accounting and reporting practices'}",A,"A is correct. Shareholder and manager interests can diverge with respect to risk
tolerance. In some cases, shareholders with diversified investment portfolios can have a fairly
high risk tolerance because specific company risk can be diver- sified away. Managers are
typically more risk averse in their corporate decision making to better protect their
employment status. 这道题目问的是下列哪项代表股东与管理层之间的委托代理冲突?在风险承受力方面
，股东和经理人的利益可能存在分歧。在某些情况下，多元化投资组合的股东可能具有较高的风险承受能力
，因为特定的公司风险可以分散。在企业决策中，管理者通常更倾向于规避风险，以更好地保护自己的就业
状况。因此A选项正确",Knowledge reasoning QA,text only,Easy,"Principal-agent theory, Corporate governance, Risk management",Corporate Finance,level1_公司金融
1263,12,,,"The short-term breakeven point of production for a firm operating under perfect competition
will most likely occur when:",,"{'A': 'price is equal to average total cost.', 'B': 'marginal revenue is equal to marginal cost.', 'C': 'marginal revenue is equal to average variable costs.'}",A,"Answer: A Under perfect competition, price equals marginal revenue. A firm breaks
even when marginal revenue equals average total cost. 在完全竞争条件下经营的企业，其短期生产盈
亏平衡点很可能出现在以下情况: 在完全竞争条件下，价格等于边际收入。当边际收入等于平均总成本时
，企业就会实现盈亏平衡。",Knowledge reasoning QA,text only,Easy,"Break-even analysis, Perfect competition, Cost structures",Economics,level1_经济学
1424,11,,,"At the beginning of the year, a firm bought an AA-rated corporate bond at USD 110 per USD
100 face value. Using market data, the risk manager estimates the following year-end values for
the bond based on interest rate simulations informed by the economics team: 
 
 
In addition, the risk manager estimates the 1-year transition probabilities on the AA-rated
corporate bond: 
 
What is the 1-year 95% credit VaR per USD 100 of face value closest to?",./dataset/images/CreditRiskMeasurementandManagement2_images/11u.png,"{'A': 'USD 9', 'B': 'USD 18', 'C': 'USD 30', 'D': '1'}",A,"The 95% credit VaR corresponds to the unexpected loss atthe 95th percentile minus
the expected loss, or the expected future value atthe 95% loss percentile minus the current
value. Using the probabilities in thegiven ratings transition matrix, the 95% percentile
corresponds to a downgradeto BBB, at which the value of the bond would be estimated at 101.
Since cashflows for the bond are not provided, we cannot derive the precise expected
andunexpected losses, but the credit VaR (the difference) is easily derived bysubtracting the
estimated value given a BBB rating from the current value. 95%credit VaR = 110 – 101 = 9.",Math reasoning QA,text only,Hard,"Credit Value at Risk (Credit VaR), Bond Valuation, Ratings Transition Matrices",Credit Risk Measurement and Management,Credit Risk Measurement and Management2
1425,12,,,"Jesse Porter, FRM, is examining the difference between risk-neutral and real-world default
probabilities. Specifically, Porter is concerned about which method to use for hedging. To help
explain the difference between the two probabilities, his colleague, Bob Evans, constructs a
hypothetical example with the following information: •  Market price of bond  = 90 • 
Liquidity  premium  =  2% •  Credit  risk  premium = 3% •  Recovery rate  =  0% • 
Risk-free rate  =  1 % •  Risk-neutral default probability = 10% Based on the data provided,
what is the real-world default probability, and which default probability (risk-neutral or
real-world) should be used for hedging purposes?",./dataset/images/CreditRiskMeasurementandManagement2_images/12u.png,"{'A': '', 'B': '无', 'C': '无', 'D': '无'}",A,"Risk-neutral default probability=real-world defaultprobability + credit risk
premium + liquidity premium10% = real-world default probability + 3% + 2%Real-world default
probability = 10% - 5% = 5%Risk-neutral default probabilities are usefulfor hedging
considerations while real-world default probabilities are usefulfor quantitative risk
assessment.",Math reasoning QA,text only,Hard,"Risk-neutral probability, Real-world default probability, Hedging techniques",Credit Risk Measurement and Management,Credit Risk Measurement and Management2
1430,17,,,"Large bank uses the KMV model to measure credit risk exposure. The bank has exposure to
Company X. Company X’s firm value, expected firm value, beta, and outstanding debt are shown
below. What is the distance to default and the default point for Company X? Current firm
value                         4,000 Expected firm value
                      5,000 Std. dev. expected firm
value           500 Company X Beta
                            1.4 Debt 1: Short-term
                       1,300 Debt 2: Long-term
                        1,800",./dataset/images/CreditRiskMeasurementandManagement2_images/17u.png,"{'A': '', 'B': '无', 'C': '无', 'D': '无'}",C,"Since the ratio of long-term-liabilities-to-short-term-liabilitiesis less than 1.5,
the following equation for default point (i.e., default threshold)will apply: Default Point =
short-term liabilities + 0.5 x long-term liabilities Default Point = 1,300 + 0.5 x 1,800 =
$2,200 The distance to default is then equal to: DD = (5,000 – 2,200) / 500 = 5.6",Math reasoning QA,text only,Hard,"Credit risk measurement, KMV model, Distance to default",Credit Risk Measurement and Management,Credit Risk Measurement and Management2
1474,12,,,"For a portfolio of illiquid assets, hedge fund managers often have considerable discretion
in portfolio valuation at the end of each month and may have incentives to smooth returns by
marking values below actual in high-return months and above actual in low-return months. Which
of the following is not a consequence of return smoothing over time?",,"{'A': 'Higher Sharpe ratio', 'B': 'Lower volatility', 'C': 'Higher serial correlation', 'D': 'Higher market beta'}",D,"Illiquidity creates an understatement of the total risk measure. As aresult, the
Sharpe ratio will be artificially higher. Illiquidity createstrends in returns (higher serial
correlation), as market shocks during a monthwill be partially recorded in two consecutive
months. Illiquidity, however,biases down the market beta.(3)",Knowledge reasoning QA,text only,Hard,"Risk Measurement, Ethical Considerations, Portfolio Management",Risk Management and Investment Management,RiskManagement and Investment Management2
1475,13,,,"Risk management of hedge funds has challenges not generally faced in traditional investment
management companies. Which of the following statements are correct about hedge fund risk
management? I. Because hedge funds can hold long and short positions, and can use derivatives
and leverage, their exposure to market risks can experience large and rapid changes that make
it difficult to assess these exposures using only monthly returns. II. Many hedge funds use
over-the-counter derivatives, which are valued by models or quoted prices and often hold
illiquid assets; as a result, the returns of these strategies generally exhibit much lower
serial correlation than mutual fund returns. III. For hedge fund strategies that use leverage
to amplify returns and rely on their ability to move out of trades quickly when they turn
against them, liquidity risk must be closely monitored and managed. IV. Hedge fund returns are
often similar to the return of a basket of exotic derivatives with nonlinear payoffs, and
therefore assessing risk based on past performance can be misleading.",,"{'A': 'I, II, III, and IV', 'B': 'I, III, and IV', 'C': 'I and III', 'D': 'II and IV'}",B,"Statement I, III, and IV are correct. Statement II. Is false becauseilliquid asset
creates higher serial correlation.(1)",Knowledge reasoning QA,text only,Hard,"Hedge Funds Risk Management, Market Risk Exposure, Liquidity Risk",Risk Management and Investment Management,RiskManagement and Investment Management2
1476,14,,,"A portfolio manager currently holds 20,000 shares of Costiuk Inc. in a particular portfolio.
The daily volume of Costiuk shares traded on the stock exchange is 50,000. Additionally, on any
given day, the portfolio manager wishes to trade no more than 15% of the daily trading volume
of Costiuk. Which of the following amounts is closest to the liquidity duration of Costiuk in
this portfolio?",,"{'A': '0.06', 'B': '0.375', 'C': '2.67', 'D': '16.67'}",C,"Liquidity duration is an approximation of the number ofdays necessary to dispose of
a portfolio’s holdings (of a particular share inthis case) without a significant market
impact. ft is calculated as: 20,000/(0.15 x 50,000) = 2.67.(2)",Math reasoning QA,text only,Hard,"Liquidity Risk, Market Impact, Portfolio Management",Risk Management and Investment Management,RiskManagement and Investment Management2
1550,7,,,"In contrast to gambling, derivatives speculation:",,"{'A': 'has a positive public image.', 'B': 'is a form of financial risk taking.', 'C': 'benefits the financial markets and thus society.'}",C,"： C is correct. Derivatives trading brings extensive benefits to financial markets
(low costs, low capital requirements, ease of going short, etc.) and thus benefits society as a
whole. Gambling, on the other hand, typically benefits only a limited number of participants. A
is incorrect because the general image of speculators is not a good one. Speculators are often
thought to be short-term traders who attempt to exploit temporary inefficiencies, caring little
about long-term fundamental values. B is incorrect because speculation and gambling are both
forms of financial risk taking. ： 这道题目问的是与赌博相比、衍生品投机是怎么样的？ C是正确的。
衍生品交易给金融市场带来了广泛的利益（低成本、低资本要求、易于做空等），从而使整个社会受益。而
赌博通常只给有限的参与者带来好处。 A是不正确的，因为投机者的总体形象并不好。投机者通常被认为是
短期交易者，他们试图寻找利用暂时的市场无效性，很少关心长期的基本价值。 B是不正确的，因为投机和
赌博都是承担金融风险的。",Knowledge reasoning QA,text only,Easy,"Derivatives trading benefits, Public perception of speculators, Financial risk taking",Derivatives,level1_衍生
1556,13,,,Which of the following statements regarding commodity derivatives is correct?,,"{'A': 'The primary commodity derivatives are futures.', 'B': 'Commodities are subject to a set of well-defined risk factors.', 'C': 'Commodity traders and financial traders today are distinct groups within the financial world.'}",A,"： A is correct. The primary commodity derivatives are futures, but forwards,
swaps, and options are also used. B is incorrect because the commodity market is extremely
large and subject to an almost unimaginable array of risks. C is incorrect because commodity
and financial traders have become relatively homogeneous since the creation of financial
futures. Historically, commodity traders and financial traders were quite different groups, and
there used to be a tendency to think of the commodity world as somewhat separate from the
financial world. ： 这道题目问的是下列关于大宗商品衍生品的陈述中哪一项是正确的？ A是正确的。主
要的大宗商品衍生品是期货，但是也有远期、互换和期权。 B是不正确的，因为大宗商品市场非常大，面临
着几乎难以想象的一系列风险。 C是不正确的，现在大宗商品交易商和金融交易员变得相对同质。过去人们
往往认为大宗商品世界与金融世界有些不同。",Knowledge reasoning QA,text only,Easy,"- Commodity Derivatives
- Risk Management in Commodity Markets
- Integration of Commodity and Financial Markets",Derivatives,level1_衍生
1640,8,,,"As a zero-coupon bond approaches its maturity date (i.e., as the term to maturity decreases).
EACH of the following is necessarily true EXCEPT:",,"{'A': 'The price increases', 'B': 'The price volatility decreases', 'C': 'The Macaulay duration decreases', 'D': 'The dollar value of an ‘01 (DV01) decreases'}",D,"As DV01 = D×P×0.0001, price (P) is increasing but (D) is decreases with mixed
influence. In regard to (A), (B), and (C), each is TRUE.当DV01 = D×P×0.0001时，价格P上升，但
D下降，其乘积不一定是下降的。ABC都是正确的。",Knowledge reasoning QA,text only,Easy,"Bond Pricing, Duration, Price Volatility",Financial Markets and Products,Financial Markets and Products1
1644,12,,,"Which of the following statements least likely describe a problem with bilaterally cleared 
over-the-counter (OTC) derivatives trades?",,"{'A': 'The defaults of individual counterparties could lead to systemic problems.', 'B': 'Bilateral OTC derivatives are often non-standard with exotic features.', 'C': 'Closing out trades may be difficult.', 'D': 'Loss mutualization may not spread all the losses among participants.'}",D,"Loss mutualization is a feature of central clearing, whereby losses arising from a
party's default are spread across all other members. Bilaterally cleared OTC derivatives do not
have a loss mutualization feature.损失共同化是中央清算的一个特点，即一方违约所造成的损失会扩散
到其他所有成员。双边清算的场外衍生品没有损失共同化的特征。",Knowledge reasoning QA,text only,Easy,"Counterparty Risk, Systemic Risk, Derivative Instruments",Financial Markets and Products,Financial Markets and Products1
1935,22,,,"A bank treasurer is attempting to minimize liquidity funding costs. Which of the following
sources of liquidity is most likely to have the greatest explicit financial cost?",,"{'A': 'Cash balances.', 'B': 'Incoming funds flow.', 'C': 'lntraday credit.', 'D': 'Liquid assets.'}",C,"Intraday credit may require collateral pledging (opportunity cost) with no interest
charged or it may require interest payments (explicit cost) for using the line of credit during
the day. Cash balances and liquid assets represent assets owned by the bank so if they are used
for financing/liquidity purposes, there is no explicit cost, although there may be implicit or
opportunity costs, especially with liquid assets (e.g., interest earned on time deposits or
banker's acceptances). There is no explicit financial cost associated with incoming funds
flow.日内信贷可以通过抵押担保而免除利息支付（机会成本），或者可以使用日间信贷额度并支付利息（显
性成本）。 现金余额和流动资产代表银行拥有的资产，因此，如果将其用于融资/流动性目的，则没有显性
成本，尽管可能存在隐性或机会成本，尤其是流动资产（例如，定期存款或 银行承兑汇票）。 资金流入不
会造成显性成本。",Knowledge reasoning QA,text only,Easy,"Liquidity Risk Management, Cost of Liquidity, Liquidity Sources",Liquidity and Treasury Risk Measurement,Liquidity and Treasury Risk Measurement and Man1
1937,24,,,"Firm A has $1 billion in highly liquid assets. In a sudden stressed scenario, it estimates
that retail customers will withdraw $150 million in deposits, and retail customers will be able
to make $80 million of loan repayments. Firm A must deal with $60 million of margin and
collateral calls on its derivatives transactions due to falling collateral values and greater
volatility of the underlying assets. In addition, it has utilized $10 million of a total $100
million liquidity facility. What is the estimate of Firm A's stressed liquidity asset buffer?",,"{'A': '$0.80 billion.', 'B': '$0.88 billion.', 'C': '$0.90 billion.', 'D': '$0.96 billion.'}",D,"The margin and collateral calls on the derivatives transactions are considered
stressed outflows. There is $90 million of unused and available liquidity that would also be
considered a stressed inflow. The stressed liquidity asset buffer of $0.96 billion is
calculated as $1 billion (highly liquid asset) - $150 million (retail deposit outflow) + $80
million (stressed inflow) - $60 million (stressed outflow) + $90 million (stressed inflow).)衍
生品交易的追加保证金和抵押要求被认为是压力性资金流出。 仍有9000万美元的未使用和可用流动资金，可
以视为压力性资金流入。 9.6亿美元的压力性流动资产缓冲=10亿美元（高流动性资产）-1.5亿美元（小额存
款流出）＋ 8000万美元（压力流入）-6000万美元（压力性流出）＋ 9000万美元（压力性流入）。",Math reasoning QA,text only,Easy,"Liquidity Risk Management, Stress Testing, Liquidity Asset Buffer Calculation",Liquidity and Treasury Risk Measurement,Liquidity and Treasury Risk Measurement and Man1
1938,25,,,Which of the following statements is correct in regards to reserve sources?,,"{'A': 'Long-term asset sales are typically used to cover immediate needs.', 'B': 'Monetary policy and interest rate movements are relatively independent.', 'C': 'The federal funds market is available anytime a bank has an immediate cash need.', 'D': 'Deficits which must be covered relatively quickly are often funded through the central bank'}",D,"Deficits that are of a more immediate nature are often funded through the central
bank discount window. Long-term asset sales are typically used to cover longer-term
(nonimmediate) deficits. Monetary policy and interest rate movements are highly related, as
monetary policy impacts the money supply which in turn impacts interest rates. The federal
funds market is only available during the trading day.更为直接的财政赤字通常是通过中央银行贴现
窗口提供资金的。 长期资产出售通常用于弥补长期（非短期）赤字。 货币政策与利率变动高度相关，因为
货币政策影响货币供应量，进而影响利率。 联邦资金市场仅在交易日开放。",Knowledge reasoning QA,text only,Easy,"Central Bank Operations, Monetary Policy, Liquidity Management",Liquidity and Treasury Risk Measurement,Liquidity and Treasury Risk Measurement and Man1
1939,26,,,"The treatment of tenor for certain types of cash flows for liquidity reporting is a concern
for senior managers preparing reports for the Financial Services Authority (FSA) in the United
Kingdom (UK). Based on recommendations of the FSA, what should be the treatment in liquidity
reports for callable or demand deposits that have no maturity date?",,"{'A': '1 day.', 'B': '1 week.', 'C': '1 month.', 'D': '1 year.'}",A,"The FSA in the UK recommends that callable and demand deposits are treated as 1-day
tenor by regulators.英国的FSA建议监管机构应将应收存款和活期存款的票据期限当做1天来处理。",Knowledge reasoning QA,text only,Easy,"Liquidity Risk Management, Regulatory Reporting, Deposit Maturity Analysis",Liquidity and Treasury Risk Measurement,Liquidity and Treasury Risk Measurement and Man1
