ID,Question Number,Share Context,Share Image,Question Text,Image,Options,Answer,Explanation,QA Type,Question Type,Level of Difficulty,Knowledge Topics,General Topics,Book Label
194,12,"John Smith, a fixed-income portfolio manager at a €10 billion sovereign wealth fund
(the Fund), meets with Sofia Chan, a derivatives strategist with Shire Gate Securities (SGS),
to discuss investment opportunities for the Fund. Chan notes that SGS adheres to ISDA
(International Swaps and Derivatives Association) protocols for credit default swap (CDS)
transactions and that any contract must conform to ISDA specifications. Before the Fund can
engage in trading CDS products with SGS, the Fund must satisfy compliance requirements.
Smith explains to Chan that fixed-income derivatives strategies are being contemplated for both
hedging and trading purposes. Given the size and diversified nature of the Fund, Smith asks
Chan to recommend a type of CDS that would allow the Fund to simultaneously fully hedge
multiple fixed-income exposures.
Smith and Chan discuss opportunities to add trading profits to the Fund. Smith asks Chan to
determine the probability of default associated with a five-year investment-grade bond issued
by Orion Industrial. Selected data on the Orion Industrial bond are presented in Exhibit 1.
Chan explains that a single-name CDS can also be used to add profit to the Fund over time. Chan
describes a hypothetical trade in which the Fund sells ￡6 million of five-year CDS protection
on Orion, where the CDS contract has a duration of 3.9 years. Chan assumes that the Fund closes
the position six months later, after Orion’s credit spread narrowed from 150 bps to 100 bps.
Chan discusses the mechanics of a long/short trade. In order to structure a number of potential
trades, Chan and Smith exchange their respective views on individual companies and global
economies. Chan and Smith agree on the following outlooks.
Outlook 1: The European economy will weaken.
Outlook 2: The US economy will strengthen relative to that of Canada.
Outlook 3: The credit quality of electric car manufacturers will improve relative to that of
traditional car manufacturers.
Chan believes US macroeconomic data are improving and that the general economy will strengthen
in the short term. Chan suggests that a curve trade could be used by the Fund to capitalize on
her short-term view of a steepening of the US credit curve.
Another short-term trading opportunity that Smith and Chan discuss involves the merger and
acquisition market. SGS believes that Delta Corporation may make an unsolicited bid at a
premium to the market price for all of the publicly traded shares of Zega, Inc. Zega’s market
capitalization and capital structure are comparable to Delta’s; both firms are highly levered.
It is anticipated that Delta will issue new equity along with 5- and 10-year senior unsecured
debt to fund the acquisition, which will significantly increase its debt ratio.
 ",['./dataset/images/FixedIncome_images/share10-17_1.png'],"Based on Exhibit 1, the probability of Orion defaulting on the bond during the",,"{'A': '1.07%.', './dataset/images/B': '2.50%.', './dataset/images/C': '3.85%.'}",A,"Based on Exhibit 1, the probability of survival for the first year is 99.78% (100%
minus the 0.22% hazard rate). Similarly, the probability of survival for the second and third
years is 99.65% (100% minus the 0.35% hazard rate) and 99.50% (100% minus the 0.50% hazard
rate), respectively. Therefore, the probability of survival of the Orion bond through the first
three years is equal to 0.9978 × 0.9965 × 0.9950 = 0.9893, and the probability of default
sometime during the first three years is 1 – 0.9893, or 1.07%.",Math reasoning QA,text+image,Easy,"Credit risk, Probability of default, Hazard rate",Fixed Income,FixedIncome
195,13,"John Smith, a fixed-income portfolio manager at a €10 billion sovereign wealth fund
(the Fund), meets with Sofia Chan, a derivatives strategist with Shire Gate Securities (SGS),
to discuss investment opportunities for the Fund. Chan notes that SGS adheres to ISDA
(International Swaps and Derivatives Association) protocols for credit default swap (CDS)
transactions and that any contract must conform to ISDA specifications. Before the Fund can
engage in trading CDS products with SGS, the Fund must satisfy compliance requirements.
Smith explains to Chan that fixed-income derivatives strategies are being contemplated for both
hedging and trading purposes. Given the size and diversified nature of the Fund, Smith asks
Chan to recommend a type of CDS that would allow the Fund to simultaneously fully hedge
multiple fixed-income exposures.
Smith and Chan discuss opportunities to add trading profits to the Fund. Smith asks Chan to
determine the probability of default associated with a five-year investment-grade bond issued
by Orion Industrial. Selected data on the Orion Industrial bond are presented in Exhibit 1.
Chan explains that a single-name CDS can also be used to add profit to the Fund over time. Chan
describes a hypothetical trade in which the Fund sells ￡6 million of five-year CDS protection
on Orion, where the CDS contract has a duration of 3.9 years. Chan assumes that the Fund closes
the position six months later, after Orion’s credit spread narrowed from 150 bps to 100 bps.
Chan discusses the mechanics of a long/short trade. In order to structure a number of potential
trades, Chan and Smith exchange their respective views on individual companies and global
economies. Chan and Smith agree on the following outlooks.
Outlook 1: The European economy will weaken.
Outlook 2: The US economy will strengthen relative to that of Canada.
Outlook 3: The credit quality of electric car manufacturers will improve relative to that of
traditional car manufacturers.
Chan believes US macroeconomic data are improving and that the general economy will strengthen
in the short term. Chan suggests that a curve trade could be used by the Fund to capitalize on
her short-term view of a steepening of the US credit curve.
Another short-term trading opportunity that Smith and Chan discuss involves the merger and
acquisition market. SGS believes that Delta Corporation may make an unsolicited bid at a
premium to the market price for all of the publicly traded shares of Zega, Inc. Zega’s market
capitalization and capital structure are comparable to Delta’s; both firms are highly levered.
It is anticipated that Delta will issue new equity along with 5- and 10-year senior unsecured
debt to fund the acquisition, which will significantly increase its debt ratio.
 ",['./dataset/images/FixedIncome_images/share10-17_1.png'],"To close the position on the hypothetical Orion trade, the Fund:",,"{'A': 'sells protection at a higher premium than it paid at the start of the trade.', './dataset/images/B': 'buys protection at a lower premium than it received at the start of the trade.', './dataset/images/C': 'buys protection at a higher premium than it received at the start of the trade.'}",B,"The trade assumes that ￡6 million of five-year CDS protection on Orion is
initially sold, so the Fund received the premium. Because the credit spread of the Orion CDS
narrowed from 150 bps to 100 bps, the CDS position will realize a financial gain. This
financial gain is equal to the difference between the upfront premium received on the original
CDS position and the upfront premium to be paid on a new, offsetting CDS position. To close the
position and monetize this gain, the Fund should unwind the position by buying protection for a
lower premium (relative to the original premium collected).",Knowledge reasoning QA,text+image,Easy,"Credit Default Swap (CDS), Credit Spreads, CDS Position Unwind",Fixed Income,FixedIncome
196,14,"John Smith, a fixed-income portfolio manager at a €10 billion sovereign wealth fund
(the Fund), meets with Sofia Chan, a derivatives strategist with Shire Gate Securities (SGS),
to discuss investment opportunities for the Fund. Chan notes that SGS adheres to ISDA
(International Swaps and Derivatives Association) protocols for credit default swap (CDS)
transactions and that any contract must conform to ISDA specifications. Before the Fund can
engage in trading CDS products with SGS, the Fund must satisfy compliance requirements.
Smith explains to Chan that fixed-income derivatives strategies are being contemplated for both
hedging and trading purposes. Given the size and diversified nature of the Fund, Smith asks
Chan to recommend a type of CDS that would allow the Fund to simultaneously fully hedge
multiple fixed-income exposures.
Smith and Chan discuss opportunities to add trading profits to the Fund. Smith asks Chan to
determine the probability of default associated with a five-year investment-grade bond issued
by Orion Industrial. Selected data on the Orion Industrial bond are presented in Exhibit 1.
Chan explains that a single-name CDS can also be used to add profit to the Fund over time. Chan
describes a hypothetical trade in which the Fund sells ￡6 million of five-year CDS protection
on Orion, where the CDS contract has a duration of 3.9 years. Chan assumes that the Fund closes
the position six months later, after Orion’s credit spread narrowed from 150 bps to 100 bps.
Chan discusses the mechanics of a long/short trade. In order to structure a number of potential
trades, Chan and Smith exchange their respective views on individual companies and global
economies. Chan and Smith agree on the following outlooks.
Outlook 1: The European economy will weaken.
Outlook 2: The US economy will strengthen relative to that of Canada.
Outlook 3: The credit quality of electric car manufacturers will improve relative to that of
traditional car manufacturers.
Chan believes US macroeconomic data are improving and that the general economy will strengthen
in the short term. Chan suggests that a curve trade could be used by the Fund to capitalize on
her short-term view of a steepening of the US credit curve.
Another short-term trading opportunity that Smith and Chan discuss involves the merger and
acquisition market. SGS believes that Delta Corporation may make an unsolicited bid at a
premium to the market price for all of the publicly traded shares of Zega, Inc. Zega’s market
capitalization and capital structure are comparable to Delta’s; both firms are highly levered.
It is anticipated that Delta will issue new equity along with 5- and 10-year senior unsecured
debt to fund the acquisition, which will significantly increase its debt ratio.
 ",['./dataset/images/FixedIncome_images/share10-17_1.png'],The hypothetical Orion trade generated an approximate:,,"{'A': 'loss of ￡117,000.', './dataset/images/B': 'gain of ￡117,000.', './dataset/images/C': 'gain of ￡234,000.'}",B,"The gain on the hypothetical Orion trade is ￡117,000, calculated as follows.
Approximate profit = Change in credit spread (in bps) x Duration x Notional amount
Approximate profit = (150 bps - 100 bps) x 3.9 x ￡6 million.
Approximate profit = 0.005 x 3.9 x ￡6 million = ￡117,000
The Fund gains because it sold protection at a spread of 150 bps and closed out the position by
buying protection at a lower spread of 100 bps.",Math reasoning QA,text+image,Easy,"Credit Spread, Duration, Notional Amount",Fixed Income,FixedIncome
197,15,"John Smith, a fixed-income portfolio manager at a €10 billion sovereign wealth fund
(the Fund), meets with Sofia Chan, a derivatives strategist with Shire Gate Securities (SGS),
to discuss investment opportunities for the Fund. Chan notes that SGS adheres to ISDA
(International Swaps and Derivatives Association) protocols for credit default swap (CDS)
transactions and that any contract must conform to ISDA specifications. Before the Fund can
engage in trading CDS products with SGS, the Fund must satisfy compliance requirements.
Smith explains to Chan that fixed-income derivatives strategies are being contemplated for both
hedging and trading purposes. Given the size and diversified nature of the Fund, Smith asks
Chan to recommend a type of CDS that would allow the Fund to simultaneously fully hedge
multiple fixed-income exposures.
Smith and Chan discuss opportunities to add trading profits to the Fund. Smith asks Chan to
determine the probability of default associated with a five-year investment-grade bond issued
by Orion Industrial. Selected data on the Orion Industrial bond are presented in Exhibit 1.
Chan explains that a single-name CDS can also be used to add profit to the Fund over time. Chan
describes a hypothetical trade in which the Fund sells ￡6 million of five-year CDS protection
on Orion, where the CDS contract has a duration of 3.9 years. Chan assumes that the Fund closes
the position six months later, after Orion’s credit spread narrowed from 150 bps to 100 bps.
Chan discusses the mechanics of a long/short trade. In order to structure a number of potential
trades, Chan and Smith exchange their respective views on individual companies and global
economies. Chan and Smith agree on the following outlooks.
Outlook 1: The European economy will weaken.
Outlook 2: The US economy will strengthen relative to that of Canada.
Outlook 3: The credit quality of electric car manufacturers will improve relative to that of
traditional car manufacturers.
Chan believes US macroeconomic data are improving and that the general economy will strengthen
in the short term. Chan suggests that a curve trade could be used by the Fund to capitalize on
her short-term view of a steepening of the US credit curve.
Another short-term trading opportunity that Smith and Chan discuss involves the merger and
acquisition market. SGS believes that Delta Corporation may make an unsolicited bid at a
premium to the market price for all of the publicly traded shares of Zega, Inc. Zega’s market
capitalization and capital structure are comparable to Delta’s; both firms are highly levered.
It is anticipated that Delta will issue new equity along with 5- and 10-year senior unsecured
debt to fund the acquisition, which will significantly increase its debt ratio.
 ",['./dataset/images/FixedIncome_images/share10-17_1.png'],"Based on the three economic outlook statements, a profitable long/short trade",,"{'A': 'sell protection using a Canadian CDX IG and buy protection using a US CDX IG.', './dataset/images/B': 'buy protection using an iTraxx Crossover and sell protection using an iTraxx Main.', './dataset/images/C': 'buy protection using an electric car CDS and sell protection using a traditional car CDS.'}",B,"Based on Outlook 1, Chan and Smith anticipate that Europe’s economy will weaken.
In order to profit from this forecast, one would buy protection using a high-yield CDS index
(e.g., iTraxx Crossover) and sell protection using an investment-grade CDS index (e.g., iTraxx
Main).",Knowledge reasoning QA,text+image,Easy,"Credit Default Swaps, Economic Forecasting, Trading Strategies",Fixed Income,FixedIncome
198,16,"John Smith, a fixed-income portfolio manager at a €10 billion sovereign wealth fund
(the Fund), meets with Sofia Chan, a derivatives strategist with Shire Gate Securities (SGS),
to discuss investment opportunities for the Fund. Chan notes that SGS adheres to ISDA
(International Swaps and Derivatives Association) protocols for credit default swap (CDS)
transactions and that any contract must conform to ISDA specifications. Before the Fund can
engage in trading CDS products with SGS, the Fund must satisfy compliance requirements.
Smith explains to Chan that fixed-income derivatives strategies are being contemplated for both
hedging and trading purposes. Given the size and diversified nature of the Fund, Smith asks
Chan to recommend a type of CDS that would allow the Fund to simultaneously fully hedge
multiple fixed-income exposures.
Smith and Chan discuss opportunities to add trading profits to the Fund. Smith asks Chan to
determine the probability of default associated with a five-year investment-grade bond issued
by Orion Industrial. Selected data on the Orion Industrial bond are presented in Exhibit 1.
Chan explains that a single-name CDS can also be used to add profit to the Fund over time. Chan
describes a hypothetical trade in which the Fund sells ￡6 million of five-year CDS protection
on Orion, where the CDS contract has a duration of 3.9 years. Chan assumes that the Fund closes
the position six months later, after Orion’s credit spread narrowed from 150 bps to 100 bps.
Chan discusses the mechanics of a long/short trade. In order to structure a number of potential
trades, Chan and Smith exchange their respective views on individual companies and global
economies. Chan and Smith agree on the following outlooks.
Outlook 1: The European economy will weaken.
Outlook 2: The US economy will strengthen relative to that of Canada.
Outlook 3: The credit quality of electric car manufacturers will improve relative to that of
traditional car manufacturers.
Chan believes US macroeconomic data are improving and that the general economy will strengthen
in the short term. Chan suggests that a curve trade could be used by the Fund to capitalize on
her short-term view of a steepening of the US credit curve.
Another short-term trading opportunity that Smith and Chan discuss involves the merger and
acquisition market. SGS believes that Delta Corporation may make an unsolicited bid at a
premium to the market price for all of the publicly traded shares of Zega, Inc. Zega’s market
capitalization and capital structure are comparable to Delta’s; both firms are highly levered.
It is anticipated that Delta will issue new equity along with 5- and 10-year senior unsecured
debt to fund the acquisition, which will significantly increase its debt ratio.
 ",['./dataset/images/FixedIncome_images/share10-17_1.png'],The curve trade that would best capitalize on Chan’s view of the US credit,,"{'A': 'buy protection using a 20-year CDX and buy protection using a 2-year CDX.', './dataset/images/B': 'buy protection using a 20-year CDX and sell protection using a 2-year CDX.', './dataset/images/C': 'sell protection using a 20-year CDX and buy protection using a 2-year CDX.'}",B,"To take advantage of Chan’s view of the US credit curve steepening in the short
term, a curve trade will entail shorting (buying protection using) a long-term (20-year) CDX
and going long (selling protection using) a short-term (2-year) CDX. A steeper curve means that
long-term credit risk increases relative to short-term credit risk.",Knowledge reasoning QA,text+image,Easy,"Credit Risk, Credit Default Swap (CDS), Curve Trade",Fixed Income,FixedIncome
199,17,"John Smith, a fixed-income portfolio manager at a €10 billion sovereign wealth fund
(the Fund), meets with Sofia Chan, a derivatives strategist with Shire Gate Securities (SGS),
to discuss investment opportunities for the Fund. Chan notes that SGS adheres to ISDA
(International Swaps and Derivatives Association) protocols for credit default swap (CDS)
transactions and that any contract must conform to ISDA specifications. Before the Fund can
engage in trading CDS products with SGS, the Fund must satisfy compliance requirements.
Smith explains to Chan that fixed-income derivatives strategies are being contemplated for both
hedging and trading purposes. Given the size and diversified nature of the Fund, Smith asks
Chan to recommend a type of CDS that would allow the Fund to simultaneously fully hedge
multiple fixed-income exposures.
Smith and Chan discuss opportunities to add trading profits to the Fund. Smith asks Chan to
determine the probability of default associated with a five-year investment-grade bond issued
by Orion Industrial. Selected data on the Orion Industrial bond are presented in Exhibit 1.
Chan explains that a single-name CDS can also be used to add profit to the Fund over time. Chan
describes a hypothetical trade in which the Fund sells ￡6 million of five-year CDS protection
on Orion, where the CDS contract has a duration of 3.9 years. Chan assumes that the Fund closes
the position six months later, after Orion’s credit spread narrowed from 150 bps to 100 bps.
Chan discusses the mechanics of a long/short trade. In order to structure a number of potential
trades, Chan and Smith exchange their respective views on individual companies and global
economies. Chan and Smith agree on the following outlooks.
Outlook 1: The European economy will weaken.
Outlook 2: The US economy will strengthen relative to that of Canada.
Outlook 3: The credit quality of electric car manufacturers will improve relative to that of
traditional car manufacturers.
Chan believes US macroeconomic data are improving and that the general economy will strengthen
in the short term. Chan suggests that a curve trade could be used by the Fund to capitalize on
her short-term view of a steepening of the US credit curve.
Another short-term trading opportunity that Smith and Chan discuss involves the merger and
acquisition market. SGS believes that Delta Corporation may make an unsolicited bid at a
premium to the market price for all of the publicly traded shares of Zega, Inc. Zega’s market
capitalization and capital structure are comparable to Delta’s; both firms are highly levered.
It is anticipated that Delta will issue new equity along with 5- and 10-year senior unsecured
debt to fund the acquisition, which will significantly increase its debt ratio.
 ",['./dataset/images/FixedIncome_images/share10-17_1.png'],A profitable equity-versus-credit trade involving Delta and Zega is to:,,"{'A': 'short Zega shares and buy protection on Delta using the 10-year CDS.', './dataset/images/B': 'go long Zega shares and buy protection on Delta using 5-year CDS.', './dataset/images/C': 'go long Delta shares and buy protection on Delta using 5-year CDS.'}",B,"The shares of Zega can be sold at a higher price as a result of the unsolicited bid
in the market. If Delta Corporation issues significantly more debt, there is a higher
probability that it may default. If the Fund sells protection on Delta now, the trade will
realize a profit as credit spreads widen. An equity-versus-credit trade would be to go long
(buy) the Zega shares and buy protection on Delta.",Knowledge reasoning QA,text+image,Easy,"Credit Default Swaps (CDS), Equity Investments, Credit Risk",Fixed Income,FixedIncome
2,3,"Neshie Wakuluk is an investment strategist who develops capital market expectations for
an investment firm that invests across asset classes and global markets. Wakuluk started her
career when the global markets were experiencing significant volatility and poor returns; as a
result, she is now careful to base her conclusions on objective evidence and analytical
procedures to mitigate any potential biases.Wakuluk’s approach to economic forecasting
utilizes a structural model in conjunction with a diffusion index to determine the current
phase of a country’s business cycle. This approach has produced successful predictions in the
past, thus Wakuluk has high confidence in the predictions. Wakuluk also determines whether any
adjustments need to be made to her initial estimates of the respective aggregate economic
growth trends based on historical rates of growth for Countries X and Y (both developed
markets) and Country Z (a developing market). Exhibit 1 summarizes Wakuluk’s predictions:
Wakuluk assumes short-term interest rates adjust with expected inflation and are procyclical.
Wakuluk reviews the historical short-term interest rate trends for each country, which further
confirms her predictions shown in Exhibit 1.Wakuluk decides to focus on Country Y to determine
the path of nominal interest rates, the potential economic response of Country Y’s economy to
this path, and the timing for when Country Y’s economy may move into the next business cycle.
Wakuluk makes the following observations:Observation 1 Monetary policy has been persistently
loose for Country Y, while fiscal policies have been persistently tight.Observation 2 Country Y
is expected to significantly increase transfer payments and introduce a more progressive tax
regime.Observation 3 The current yield curve for Country Y suggests that the business cycle is
in the slowdown phase, with bond yields starting to reflect contractionary conditions.
 ",['./dataset/images/CapitalMarketExpectations_images/share1-8_1.png'],Wakuluk is most likely to make significant adjustments to her estimate of the,,"{'A': 'Country Y only', './dataset/images/B': 'Country Z only', './dataset/images/C': 'Countries Y and Z'}",B,"Country Z is a developing market. Less-developed markets are likely to be
undergoing more rapid structural changes, which may require the analyst to make more
significant adjustments relative to past trends.",Knowledge reasoning QA,text+image,Easy,"Emerging Markets, Structural Changes, Market Analysis",Capital Market Expectations,Capital Market Expectations
3,4,"Neshie Wakuluk is an investment strategist who develops capital market expectations for
an investment firm that invests across asset classes and global markets. Wakuluk started her
career when the global markets were experiencing significant volatility and poor returns; as a
result, she is now careful to base her conclusions on objective evidence and analytical
procedures to mitigate any potential biases.Wakuluk’s approach to economic forecasting
utilizes a structural model in conjunction with a diffusion index to determine the current
phase of a country’s business cycle. This approach has produced successful predictions in the
past, thus Wakuluk has high confidence in the predictions. Wakuluk also determines whether any
adjustments need to be made to her initial estimates of the respective aggregate economic
growth trends based on historical rates of growth for Countries X and Y (both developed
markets) and Country Z (a developing market). Exhibit 1 summarizes Wakuluk’s predictions:
Wakuluk assumes short-term interest rates adjust with expected inflation and are procyclical.
Wakuluk reviews the historical short-term interest rate trends for each country, which further
confirms her predictions shown in Exhibit 1.Wakuluk decides to focus on Country Y to determine
the path of nominal interest rates, the potential economic response of Country Y’s economy to
this path, and the timing for when Country Y’s economy may move into the next business cycle.
Wakuluk makes the following observations:Observation 1 Monetary policy has been persistently
loose for Country Y, while fiscal policies have been persistently tight.Observation 2 Country Y
is expected to significantly increase transfer payments and introduce a more progressive tax
regime.Observation 3 The current yield curve for Country Y suggests that the business cycle is
in the slowdown phase, with bond yields starting to reflect contractionary conditions.
 ",['./dataset/images/CapitalMarketExpectations_images/share1-8_1.png'],Based on Exhibit 1 and Wakuluk’s assumptions about short-term rates and,,"{'A': 'low and bottoming.', './dataset/images/B': 'approaching a peak.', './dataset/images/C': 'above average and rising.'}",A,"Country X is predicted to be in the initial recovery phase of the business cycle,
which suggests short-term (money market) rates are low or bottoming. Inflation is procyclical.
It accelerates in the later stages of the business cycle when the output gap has closed, and it
decelerates when a large output gap puts downward pressure on wages and prices, which often
happens during a recession or the early years afterward. As long as short-term interest rates
adjust with expected inflation, cash is essentially a zero-duration, inflation-protected asset
that earns a floating real rate, which is typically procyclical. Wakuluk assumes short-term
interest rates adjust with expected inflation and are procyclical. Thus, short-term rates are
most likely to be low and bottoming if Country X is in the initial recovery phase of the
business cycle.",Knowledge reasoning QA,text+image,Easy,"Business cycle phases, Short-term interest rates, Inflation dynamics",Capital Market Expectations,Capital Market Expectations
183,1,"Jules Bianchi is a bond analyst for Maneval Investments, lnc. Bianchi gathers data on
three corporate bonds, as shown in Exhibit 1.
To assess the interest rate risk of the three bonds, Bianchi constructs two binomial interest
rate trees based on a 10% interest rate volatility assumption and a current one-year rate of
1%. Panel A of Exhibit 2 provides an interest rate tree assuming the benchmark yield curve
shifts down by 30 bps, and Panel B provides an interest rate tree assuming the benchmark yield
curve shifts up by 30 bps. Bianchi determines that the AI bond is currently trading at an
option-adjusted spread (OAS) of 13.95 bps relative to the benchmark yield curve.
Armand Gillette, a convertible bond analyst, stops by Bianchi's office to discuss two
convertible bonds. One is issued by DeLille Enterprises (DE) and the other is issued by
Raffarin Incorporated (RI). Selected data for the two bonds are presented in Exhibits 3 and 4.
 
Gillette makes the following comments to Bianchi:■ “The DE bond does not contain any call or
put options but the RI bond contains both an embedded call option and put option. I expect that
DeLille Enterprises will soon announce a common stock dividend of €0.70 per share.”■ “My
belief is that, over the next year, Raffarin's share price will appreciate toward the
conversion price but not exceed it.”
 ","['./dataset/images/FixedIncome_images/share1-9_1.png', './dataset/images/FixedIncome_images/share1-9_2.png', './dataset/images/FixedIncome_images/share1-9_3.png', './dataset/images/FixedIncome_images/share1-9_4.png']","Based on Exhibits 1 and 2, the effective duration for the AI bond is closest",,"{'A': '1.98', './dataset/images/B': '2.15', './dataset/images/C': '2.73'}",B,"The AI bond's value if interest rates shift down by 30 bps (PV−) is 100.78:
The AI bond's value if interest rates shift up by 30 bps (PV+) is 99.487:

$$
\text{EffDur} = \frac{(PV_-)-(PV_+)}{2 \times (\Delta \text{Curve}) \times (PV_0)} = \frac{100.780 - 99.487}{2 \times 0.003 \times 100.200} = 2.15
$$",Math reasoning QA,text+image,Easy,"Bond duration, Interest rate risk, Bond valuation",Fixed Income,FixedIncome
184,2,"Jules Bianchi is a bond analyst for Maneval Investments, lnc. Bianchi gathers data on
three corporate bonds, as shown in Exhibit 1.
To assess the interest rate risk of the three bonds, Bianchi constructs two binomial interest
rate trees based on a 10% interest rate volatility assumption and a current one-year rate of
1%. Panel A of Exhibit 2 provides an interest rate tree assuming the benchmark yield curve
shifts down by 30 bps, and Panel B provides an interest rate tree assuming the benchmark yield
curve shifts up by 30 bps. Bianchi determines that the AI bond is currently trading at an
option-adjusted spread (OAS) of 13.95 bps relative to the benchmark yield curve.
Armand Gillette, a convertible bond analyst, stops by Bianchi's office to discuss two
convertible bonds. One is issued by DeLille Enterprises (DE) and the other is issued by
Raffarin Incorporated (RI). Selected data for the two bonds are presented in Exhibits 3 and 4.
 
Gillette makes the following comments to Bianchi:■ “The DE bond does not contain any call or
put options but the RI bond contains both an embedded call option and put option. I expect that
DeLille Enterprises will soon announce a common stock dividend of €0.70 per share.”■ “My
belief is that, over the next year, Raffarin's share price will appreciate toward the
conversion price but not exceed it.”
 ","['./dataset/images/FixedIncome_images/share1-9_1.png', './dataset/images/FixedIncome_images/share1-9_2.png', './dataset/images/FixedIncome_images/share1-9_3.png', './dataset/images/FixedIncome_images/share1-9_4.png']","If benchmark yields were to fall, which bond in Exhibit 1would most likely",,"{'A': 'AI bond', './dataset/images/B': 'BI bond', './dataset/images/C': 'CE bond'}",A,"The AI bond is a callable bond and the effective duration of a callable bond
decreases when interest rates fall. The reason is because a decline in interest rates may
result in the call option moving into the money, which limits the price appreciation of the
callable bond. Exhibit 1 also shows that the price of the Al bond is 100.200 and that it is
callable at par in one year and two years. Thus, the call option is already in the money and
would likely be exercised in response to increases in the Al bond's price.",Knowledge reasoning QA,text+image,Easy,"Bond valuation, Duration and convexity, Callable bonds",Fixed Income,FixedIncome
396,3,"Stereo Warehouse is a US retailer that offers employees a defined benefit pension plan
and stock options as part of its compensation package. Stereo Warehouse prepares its financial
statements in accordance with US GAAP.Peter Friedland, CFA, is an equity analyst concerned with
earnings quality. He is particularly interested in whether the discretionary assumptions the
company is making regarding compensation plans are contributing to the recent earnings growth
at Stereo Warehouse. He gathers information from the company's regulatory filings regarding the
pension plan assumptions in Exhibit 4 and the assumptions related to option valuation in
Exhibit 5.
 
 ",['./dataset/images/FinancialStatementAnalysis_images/share1-6_1.png'],Compared to the assumptions Stereo Warehouse used to compute its periodic,,"{'A': 'discount rate.', './dataset/images/B': 'estimated future salary increases.', './dataset/images/C': 'expected long-term rate of return on plan assets.'}",B,"In 2009, the three relevant assumptions were lower than in 2008. Lower expected
salary increases reduce the service cost component of the periodic pension cost. A lower
discount rate will increase the defined benefit obligation and increase the interest cost
component of the periodic pension cost (the increase in the obligation will, in most cases,
more than offset the decrease in the discount rate). Reducing the expected return on plan
assets typically increases the periodic pension cost.",Knowledge reasoning QA,text+image,Hard,"Pension plan accounting, Actuarial assumptions, Discount rate",Financial Reporting and Analysis,Financial Statement Analysis
397,4,"Stereo Warehouse is a US retailer that offers employees a defined benefit pension plan
and stock options as part of its compensation package. Stereo Warehouse prepares its financial
statements in accordance with US GAAP.Peter Friedland, CFA, is an equity analyst concerned with
earnings quality. He is particularly interested in whether the discretionary assumptions the
company is making regarding compensation plans are contributing to the recent earnings growth
at Stereo Warehouse. He gathers information from the company's regulatory filings regarding the
pension plan assumptions in Exhibit 4 and the assumptions related to option valuation in
Exhibit 5.
 
 ",['./dataset/images/FinancialStatementAnalysis_images/share1-6_1.png'],"Compared to the pension assumptions Stereo Warehouse used in 2008, which of the",,"{'A': 'Estimated future salary increases, inflation', './dataset/images/B': 'Discount rate, estimated future salary increases', './dataset/images/C': 'Expected long-term rate of return on plan assets, discount rate'}",A,"The company's inflation estimate rose from 2008 to 2009. However, it lowered its
estimate of future salary increases. Normally, salary increases will be positively related to
inflation.",Knowledge reasoning QA,text+image,Hard,"Inflation estimation, Salary increase assumptions, Pension assumptions",Financial Reporting and Analysis,Financial Statement Analysis
398,5,"Stereo Warehouse is a US retailer that offers employees a defined benefit pension plan
and stock options as part of its compensation package. Stereo Warehouse prepares its financial
statements in accordance with US GAAP.Peter Friedland, CFA, is an equity analyst concerned with
earnings quality. He is particularly interested in whether the discretionary assumptions the
company is making regarding compensation plans are contributing to the recent earnings growth
at Stereo Warehouse. He gathers information from the company's regulatory filings regarding the
pension plan assumptions in Exhibit 4 and the assumptions related to option valuation in
Exhibit 5.
 
 ",['./dataset/images/FinancialStatementAnalysis_images/share1-6_1.png'],"Compared to the reported 2009 financial statements, if Stereo Warehouse had",,"{'A': 'net income.', './dataset/images/B': 'compensation expense.', './dataset/images/C': 'deferred compensation liability.'}",B,"A higher volatility assumption increases the value of the stock option and thus the
compensation expense, which, in turn, reduces net income. There is no associated liability for
stock options.",Knowledge reasoning QA,text+image,Hard,"Stock options, Compensation expense, Net income",Financial Reporting and Analysis,Financial Statement Analysis
